,id,ancestor,size,radius,mass,velocity dispersion,virial parameter
0,0,0,124.709602,6.3005,58912.147648,10.649738,14.555571
1,1,1,102.524732,5.712673,43667.055609,20.604909,66.651226
2,2,2,55.338651,4.197004,23611.478071,10.373477,22.953352
3,3,3,119.719241,6.173153,49441.183977,7.557952,8.558697
4,8,14,35.179571,3.346342,18298.887878,7.76962,13.247271
5,11,14,65.912286,4.580451,37958.980426,4.486538,2.914725
6,22,14,37.946503,3.475449,18940.085588,4.582208,4.623384
7,23,23,31.22681,3.152745,13270.058211,8.578613,20.981253
8,25,14,410.247157,11.427411,465647.078706,17.158282,8.670014
9,26,14,39.972293,3.567012,20629.05696,6.598982,9.035671
10,27,14,78.956396,5.013243,36618.892913,16.762892,46.162856
11,28,28,145.659234,6.809168,60745.405462,6.66297,5.971695
12,30,14,28.706925,3.022863,25458.026962,10.764188,16.509636
13,31,14,131.9728,6.481377,75596.461454,26.912699,74.518065
14,32,14,131.379886,6.466801,102509.683006,9.291849,6.535972
15,33,14,44.073282,3.745526,31094.181567,10.404429,15.647731
16,34,14,96.941458,5.554946,55829.829651,25.750747,79.172518
17,35,14,48.816595,3.941929,23906.422764,3.98617,3.144033
18,36,14,65.319371,4.559803,47558.777507,21.045749,50.95953
19,38,14,54.498689,4.16503,29343.498042,19.253444,63.139957
20,39,14,108.552692,5.878214,80181.651866,17.825651,27.953901
21,41,14,41.454578,3.632548,23115.808378,9.357599,16.512482
22,47,14,53.312861,4.119467,40422.178037,6.224231,4.73777
23,48,14,163.397248,7.211862,111664.844925,11.290608,9.87977
24,49,14,27.718735,2.970378,17188.580085,13.358213,37.004088
25,50,14,28.015192,2.98622,15047.33897,10.144158,24.50617
26,51,14,91.407592,5.394065,39013.626645,8.872284,13.060264
27,52,14,31.572677,3.170157,13151.424674,10.362112,31.058879
28,54,14,94.816849,5.493736,71527.29715,12.664357,14.782352
29,55,14,25.001212,2.821016,18302.313953,20.243209,75.794822
30,56,14,61.317201,4.417904,31937.078708,19.420286,62.60565
31,57,57,26.13763,2.884418,10898.347108,21.649238,148.855205
32,58,58,31.078581,3.145254,12508.330129,19.364234,113.145745
33,59,14,46.790805,3.859271,21654.390451,7.111316,10.81535
34,60,61,34.734885,3.325125,15081.595586,15.022711,59.708834
35,62,14,28.608106,3.017655,14002.384204,5.257998,7.149732
36,64,64,38.638236,3.506983,15441.058161,10.290159,28.859054
37,65,63,47.729586,3.897794,21178.394067,14.787142,48.292045
38,66,61,82.316243,5.118796,36198.321051,16.956441,48.789915
39,67,63,26.434088,2.900729,11790.535768,9.687675,27.707287
